,title,artist,album,album_image,BPM,Camelot,lyrics
0,Jenny Was A Friend Of Mine,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,114,1B,"we took a walk that night , but it was n't the same we had a fight on the promenade out in the rain she said she loved me , but she had somewhere to go she could n't scream while i held her close i swore i 'd never let her go tell me what you wan na know come on , come on there ai n't no motive for this crime jenny was a friend of mine come on , come on , yeah i know my rights , i 've been here all day and it 's time for me to go , so let me know if it 's alright i just ca n't take this , i swear i told you the truth she could n't scream while i held her close i swore i 'd never let her go tell me what you wan na know come on , come on there ai n't no motive for this crime jenny was a friend of mine then you whisper in my ear '' i know what you 're doing here '' come on , come on , yeah jenny was a friend of mine jenny was a friend of mine jenny was a friend of mine jenny was a friend of mine"
1,Mr. Brightside,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,148,3B,"coming out of my cage and i 've been doing just fine got ta , got ta be down , because i want it all it started out with a kiss , how did it end up like this it was only a kiss , it was only a kiss now i 'm falling asleep and she 's calling a cab while he 's having a smoke and she 's taking a drag now they 're going to bed and my stomach is sick and it 's all in my head , but she 's touching his chest now , he takes off her dress now , let me go and i just ca n't look , it 's killing me they 're taking control jealousy , turning saints into the sea swimming through sick lullabies , choking on your alibis but it 's just the price i pay , destiny is calling me open up my eager eyes , 'cause i 'm mr. brightside i 'm coming out of my cage and i 've been doing just fine got ta , got ta be down , because i want it all it started out with a kiss , how did it end up like this it was only a kiss , it was only a kiss now i 'm falling asleep and she 's calling a cab while he 's having a smoke and she 's taking a drag now they 're going to bed and my stomach is sick and it 's all in my head , but she 's touching his chest now , he takes off her dress now , let me go 'cause i just ca n't look , it 's killing me they 're taking control jealousy , turning saints into the sea swimming through sick lullabies , choking on your alibis but it 's just the price i pay , destiny is calling me open up my eager eyes , 'cause i 'm mr. brightside i never ... i never ... i never ... i never ..."
2,Smile Like You Mean It,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,125,2A,"save some face , you know you 've only got one change your ways while you 're young boy , one day you 'll be a man oh girl , he 'll help you understand smile like you mean it smile like you mean it looking back at sunsets on the eastside we lost track of the time dreams are n't what they used to be some things sat by so carelessly smile like you mean it smile like you mean it and someone is calling my name from the back of the restaurant and someone is playing a game in the house that i grew up in and someone will drive her around down the same streets that i did on the same streets that i did smile like you mean it smile like you mean it smile like you mean it smile like you mean it oh no , oh no , oh no no no oh no , oh no ..."
3,Somebody Told Me,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,138,3A,"breaking my back just to know your name seventeen tracks and i 've had it with this game i 'm breaking my back just to know your name but heaven ai n't close in a place like this anything goes but do n't blink , you might miss 'cause heaven ai n't close in a place like this i said , oh , heaven ai n't close in a place like this bring it back down , bring it back down tonight oohooh never thought i 'd let a rumor ruin my moonlight well , somebody told me you had a boyfriend who looked like a girlfriend that i had in february of last year it 's not confidential , i 've got potential ready let 's roll onto something new taking its toll then i 'm leaving without you 'cause heaven ai n't close in a place like this i said , oh , heaven ai n't close in a place like this bring it back down , bring it back down tonight oohooh never thought i 'd let a rumor ruin my moonlight well , somebody told me you had a boyfriend who looked like a girlfriend that i had in february of last year it 's not confidential , i 've got potential arushing , rushing around pace yourself for me i said maybe , baby , please but i just do n't know now maybe , baby when all i want to do is try well , somebody told me you had a boyfriend who looked like a girlfriend that i had in february of last year it 's not confidential , i 've got potential arushing , rushing around somebody told me you had a boyfriend who looked like a girlfriend that i had in february of last year it 's not confidential , i 've got potential arushing , rushing around somebody told me you had a boyfriend who looked like a girlfriend that i had in february of last year it 's not confidential , i 've got potential arushing , rushing around"
4,All These Things That I've Done,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,118,2B,"when there 's nowhere else to run is there room for one more son one more son if you can hold on if you can hold on , hold on i wan na stand up , i wan na let go you know , you know no , you do n't , you do n't i wan na shine on in the hearts of man i want a meaning from the back of my broken hand another head aches , another heart breaks i 'm so much older than i can take and my affection , well , it comes and goes i need direction to perfection , no , no , no , no help me out yeah , you know you got to help me out yeah , oh , do n't you put me on the back burner you know you got to help me out , yeah and when there 's nowhere else to run is there room for one more son these changes ai n't changing me the coldhearted boy i used to be yeah , you know you got to help me out yeah , oh , do n't you put me on the back burner you know you got to help me out , yeah you 're gon na bring yourself down yeah , you 're gon na bring yourself down yeah , you 're gon na bring yourself down i got soul , but i 'm not a soldier i got soul , but i 'm not a soldier i got soul , but i 'm not a soldier i got soul , but i 'm not a soldier i got soul , but i 'm not a soldier i got soul , but i 'm not a soldier i got soul , but i 'm not a soldier i got soul , but i 'm not a soldier i got soul , but i 'm not a soldier i got soul , but i 'm not a soldier time , truth , and hearts yeah , you know you got to help me out yeah , oh , do n't you put me on the back burner you know you got to help me out yeah , you 're gon na bring yourself down yeah , you 're gon na bring yourself down yeah , oh , do n't you put me on the back burner you 're gon na bring yourself down yeah , you 're gon na bring yourself down over and in , last call for sin while everyone 's lost , the battle is won with all these things that i 've done all these things that i 've done time , truth , and hearts if you can hold on if you can hold on"
5,"Andy, You're A Star",The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,84,12A,"on the field i remember you were incredible hey , shut up , hey , shut up , yeah on the field i remember you were incredible hey , shut up , hey , shut up , yeah on the match with the boys , you think you 're alone with the pain that you drain from love in a car with a girl , promise me she 's not your world 'cause andy , you 're a star get down leave your number on the locker and i 'll give you a call hey , shut up , hey , shut up , yeah leave your legacy in gold on the plaques that line the hall hey , shut up , hey , shut up , yeah on the streets , such a sweet face jumping in town in the staff room , the verdict is in in a car with a girl , promise me she 's not your world 'cause andy , you 're a star in nobody 's eyes but mine andy , you 're a star in nobody 's eyes but mine andy , you 're a star in nobody 's eyes in nobody 's eyes but mine"
6,On Top,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,127,12A,"remember rio and get down like some other dj , in some other town she 's been trying to tell me to hold tight but i 've been waiting this whole night but i 've been down across a road or two but now i 've found the velvet sun that shines on me and you in the back , ahho , i ca n't crack we 're on top it 's just a shimmy and a shake , ahho i ca n't fake , we 're on top , we 're on top the day is breaking , we 're still here your body 's shaking and it 's clear you really need it , so let go and let me feed it , but you know that i 've been down across a road or two but now i 've found the velvet sun that shines on me and you in the back , ahho , i ca n't crack we 're on top it 's just a shimmy and a shake , ahho i ca n't fake , we 're on top , we 're on top we bring the bump to the grind , ahho i do n't mind , we 're on top it 's just a shimmy and a shake , ahho i ca n't fake , we 're on top , we 're on top and we do n't mean to satisfy tonight so get your eyes off of my pride tonight 'cause i do n't need to satisfy tonight it 's like a cigarette in the mouth or a handshake in the doorway i look at you and smile because i 'm fine and we do n't mean to satisfy tonight so get your eyes off of my pride tonight 'cause i do n't need to satisfy tonight it 's like a cigarette in the mouth or a handshake in the doorway i look at you and smile because i 'm fine now"
7,Glamorous Indie Rock & Roll,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,154,5B,"glamorous indie rock and roll is what i want it 's in my soul , it 's what i need indie rock and roll , it 's time two of us flipping through a thrift store magazine she plays the drums , i 'm on tambourine bet your , your bottom dollar on me it 's indie rock and roll for me it 's indie rock and roll for me it 's all i need it 's indie rock and roll for me in a clutch , i 'm talking every word for all the boys electric girls with worndown toys make it up , break it up , what do you care oh , what do you care i take my twist with a shout a coffee shop with a cause , then i 'll freak you out no sex , no drugs , no life , no love when it comes to today stay if you want to love me , stay oh , do n't be shy , let 's cause a scene like lovers do on silver screens let 's make it , yeah , we 'll cause a scene it 's indie rock and roll for me it 's indie rock and roll for me it 's all i need it 's indie rock and roll for me in a clutch , i 'm talking every word for all the boys it 's indie rock and roll for me it 's all i need make it up , break it up , what do you care it 's indie rock and roll for me two of us flipping through a thrift store magazine indie rock and roll for me it 's all i need make it up , break it up , what do you care it 's indie rock and roll for me"
8,Believe Me Natalie,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,96,8B,"believe me , natalie , listen , natalie this is your last chance to find a gogo dance to disco now please believe me , natalie , listen natalie this is your last chance to find a gogo dance to disco now forget what they said in soho , leave the oh , no '' s out and believe me , natalie , listen natalie this is your last chance there is an old cliche under your monet , baby remember the arch of roses right above your couch forget what they said in soho , leave the oh , no '' s out yes , there is an old cliche under your monet , baby you left the station now to the floor with speculation what was it for in that old hallway , mom says , why do n't you stay you 've been away for a long time '' believe me , natalie this is your last chance to find a gogo forget what they said in soho and walk away if my dreams for us ca n't get you through just one more day it 's alright by me god , help me somehow there 's no time for survival left the time is now 'cause this might be your last chance to disco , ohoh , ohoh"
9,Midnight Show,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,144,2A,"i know what you want i 'm gon na take you to a midnight show tonight if you can keep a secret i got a blanket in the back seat on my mind and a little place that sits beneath the sky she turned her face to speak but noone heard her cry drive faster , boy drive faster , boy , ooh , yeahooh i know there 's a hope there 's too many people trying to help me cope you got a real short skirt i wan na look up , look up , look up , yeah , yeah we were just in time let me take a little more off your mind there 's something in my head , somewhere in the back , saying '' we were just a good thing , we were such a good thing '' make it go away without a word but promise me you 'll stay and fix these things i 've heard oh , make it go away drive faster , boy , ooh , yeahooh oh , no a crashing tide ca n't hide a guilty girl with jealous hearts that start with gloss and curls i took my baby 's breath beneath the chandelier of stars in atmosphere and watched her disappear into the midnight show faster , faster , faster , faster , faster , faster oh no , no , no , no , no , no no , no , no , no , no if you can keep a secret well , baby , i can keep it if you can keep a secret she said she loved me if you can keep a secret , i can keep a secret she said she loved me if you can keep a secret well , baby , i can keep it if you can keep a secret"
